label,text
0,กระแส #เรียนออนไลน์ ยังทำให้ดีมานด์ iPad รุ่นต่ำยังคงสูงอยู่ อย่าว่าแต่หน้าร้านหาของไม่ได้ ขนาดเว็บ Apple Store เอง… https://t.co/ls9zJNvle1
0,"ภูมิศาสตร์ กับ ประวัติศาสตร์ 

เป็น ทวีป เหมือนกัน 

ชื่นใจจริงๆครับ 

น่าจะค้น กูเกิล บ้านพี่หน่วง… https://t.co/HmboeL3j0V"
1,10 เคล็ดลับการเรียนออนไลน์อย่างมีประสิทธิภาพ #แรงบันดาลใจ #ไลฟ์สไตล์ #ความสำเร็จ #พัฒนาตัวเอง #LearningFromHome… https://t.co/Pjhhrh6yWE
-1,อ่านข่าวนิสิตเครียดจน #ฆ่าตัวตาย เพราะ #เรียนออนไลน์​ พูดตรงๆ ในฐานะคนจบครู การสอนแบบ e-learning และ distance learn… https://t.co/5J48eJrLxa
0,"เปิดเรียนวันแรก กทม.ยังให้เรียนออนไลน์ได้

Youtube : https://t.co/MnStkwrXGV

#เปิดเรียนวันแรก
#โรงเรียน
#นักเรียน… https://t.co/byI6w86k3l"
0,รมว.ศึกษาธิการ เผย ในพื้นที่เสี่ยง 5 จังหวัดที่จะต้องเปิดเรียนในวันที่ 1 ก.พ.นี้ ชี้ อาจเปิดเรียนเฉพาะเด็กระดับปฐม… https://t.co/l94eRLafPN
0,จบป.ตรีได้จากบ้าน! โลจิสติกส์ สวนสุนันทา ท้าไวรัส จัดหลักสูตรออนไลน์ เรียนได้ทุกที่ ทุกเวลา เปิดรับแล้ววันนี้ &gt;&gt;… https://t.co/zsFiWcssJC
0,"ดี/ไม่ดี คิดว่าไงกัน 

#เรียนออนไลน์ #dek64 #dek65 #dek66 https://t.co/jZabMlDO2E"
0,เลขาฯ กพฐ.เผยหากผู้ปกครองไม่สบายใจให้บุตรหลานไปเรียน 1 ก.พ.นี้ สามารถเรียนออนไลน์ต่อได้ &gt;&gt; https://t.co/vaTaqxEn0j… https://t.co/U7AgTsGDLR
0,สวนกุหลาบ-วัดราชบพิธ เซ็นประกาศปิดสถานศึกษา 1-5 ก.พ. ห่วงโควิด ให้เรียนหรือสอบออนไลน์ #เรียนออนไลน์ https://t.co/z5hEs1aowF
-1,นร.เลว แฉอีก ครู ร.ร.ดังย่านมะขามสูง ปกป้องเด็ก ‘แอบถ่ายใต้กระโปรง’ เหตุเรียนเก่ง ขู่ห้ามบอกต่อ… https://t.co/YuXU3ypalI
-1,ดูการศึกษาไทย ให้เด็กป 4 เรียน เรียนไปทำไมอ่ะ นี่คือการบ้าน ไม่ใช่แบบสอนให้รู้รอบตัวขำๆ นี่คือเรียนเพื่อสร้างเสริม… https://t.co/FMjzUbL8K0
0,"ชวนสังเกตอาการ #CabinFever หรือ #ภาวะเบื่อบ้าน เพราะการอยู่ในที่แคบนานเกินไปส่งผลลบต่ออารมณ์

กำลังเป็นแบบนี้กันอ… https://t.co/1FmZCsaWdY"
0,"สมุทรสาคร ยังไม่เปิดเรียน 1 ก.พ. อีก 4 จังหวัดรวม กทม. รอศบค.ประกาศ
https://t.co/3OnyS8LLFl

#เปิดเรียน… https://t.co/cQyz8VCloH"
1,TOT ติดตั้งเสาสัญญาณเน็ตให้ น้องวิว นักเรียนใจสู้ นั่งเรียนออนไลน์กลางแดด เจ้าตัวขอบคุณทุกๆ ความช่วยเหลือ สัญญาจะ… https://t.co/ssFCOCdp2Z
-1,ส่าตั้งใจเรียน! เน็ตอ.ก็เน่า เฮ้อ ! หลุดหายไปชาตินึงล่ะ! เสียเวลามาก! #เรียนออนไลน์
0,#มหาวิทยาลัย #สถาบันการศึกษา #ครู #อาจารย์ #นักวิชาการ อย่างเราๆ ควรปรับหลักสูตร ผลิต #บัณฑิต มา #การศึกษา ไม่ช่วย… https://t.co/pO6Nb7BLYy
0,โอ๊ยยยยยยยยสมองงงงง #เรียนออนไลน์ https://t.co/KQsljiAqr9
0,บิดเบี้ยวกันไปหมดละประเทศนี้ สักพักนักข่าว ยูทูปเบอร์ คนใจบุญจะไปกันเต็มบ้านน้อง อารมณ์แบบลุงพลมาเลย #เรียนออนไลน์ https://t.co/wRCStX4P24
1,เห็นข่าวครูครีเอทการสอนออนไลน์ ยิ้มเบา ๆ กับเทคนิค #เรียนออนไลน์  #มุ้งมิ้งคงไม่ชอบ
1,ชีวิตต้องเรียนรู้อยู่ตลอด อาจจ่ายค่าเรียนแพง-ถูก บ้างเป็นเรื่องปกติ แต่สิ่งหนึ่งที่ได้คือ เรารู้เพิ่มขึ้นแน่นอน… https://t.co/X5kFN0WSwe
0,ซูเปอร์โพล' เผยปชช. ร้อยละ 79.4 พอใจ 'หมอทวีศิลป์' ทำหน้าที่โฆษกศบค. เชื่อเรียนออนไลน์ห่างไกลโควิดฯ มากสุด รองลงมา… https://t.co/MQYWRAQxnq
0,คอมชั้นเจ๊งละ ทำบ้าไรไม่ได้เลยค่ะ แงงงง แจ้งไปแล้วว่าคอมพัง ทำไมมหาลัยไม่ให้ไอแพดหนูคะ ปัญหาหนูไม่สำคัญพอหรอคะ หนู… https://t.co/fDm7LVAc6W
-1,มึงงงง เค้าบอก มธจะกลับมาเรียนผสมแล้ว!!!!!!! ออนไลน์+ในคลาส อีดอกๆๆๆๆๆ #มธ #เรียนออนไลน์ หลัง1กุมภาจ้ะ!!!!!
0,อยากถามเด็กๆที่เรียนออนไลน์ว่าได้ความรู้มากกว่า เท่ากับ หรือน้อยกว่า เรียนในห้องเรียนปกติมั้ย? แล้วเด็กม.6ที่เตรียม… https://t.co/NjvkZg2PWu
-1,#เรียนออนไลน์ เป็นการแก้ปัญหาที่ห่วยแตกมาก ครูทำหน้าที่แค่ตัดต่อคลิป หาวิดีโอสื่อการสอนของคนอื่นมาตัดแปะ ส่วนตัวเอง… https://t.co/zZIOwiIuEV
